"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 03:10:00","EST","CAPITL",61757,1213.1
"12/13/2019 03:10:00","EST","CENTRL",61754,1705.1
"12/13/2019 03:10:00","EST","DUNWOD",61760,537.3
"12/13/2019 03:10:00","EST","GENESE",61753,1009.4
"12/13/2019 03:10:00","EST","HUD VL",61758,979.1
"12/13/2019 03:10:00","EST","LONGIL",61762,1880.6
"12/13/2019 03:10:00","EST","MHK VL",61756,874.5
"12/13/2019 03:10:00","EST","MILLWD",61759,315.3
"12/13/2019 03:10:00","EST","N.Y.C.",61761,4665.9
"12/13/2019 03:10:00","EST","NORTH",61755,595.9
"12/13/2019 03:10:00","EST","WEST",61752,1543
"12/13/2019 03:15:00","EST","CAPITL",61757,
"12/13/2019 03:15:00","EST","CENTRL",61754,
"12/13/2019 03:15:00","EST","DUNWOD",61760,
"12/13/2019 03:15:00","EST","GENESE",61753,
"12/13/2019 03:15:00","EST","HUD VL",61758,
"12/13/2019 03:15:00","EST","LONGIL",61762,
"12/13/2019 03:15:00","EST","MHK VL",61756,
"12/13/2019 03:15:00","EST","MILLWD",61759,
"12/13/2019 03:15:00","EST","N.Y.C.",61761,
"12/13/2019 03:15:00","EST","NORTH",61755,
"12/13/2019 03:15:00","EST","WEST",61752,
